Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSE84437_GSM2236010	0.0673799205746824	0.00622045775536393	0.0261360414727755	0.130996716569979	0	0.212611877542276	0	0.0169613107415489	0.0738909578380878	0	0	0.0295612962922579	0	0.0163360321987946	0.0159823731984087	0.0483875133197892	0.00491049530951388	0.00551801959615996	0.345106987590362	0	0	0	0	0.478493165725981	0.877718496233021
GSE84437_GSM2236011	0.0703245714054604	0	0	0.24291391989806	0	0	0.131147638993948	0.0886211020267885	0.0316154529934015	0	0	0.0405833257255734	0.0214590398904771	0.125532391824843	0.0788969880695155	0.0401515794195842	0.00216984698883567	0	0.126584142763512	0	0	0	0.005	0.296539294022293	0.964795959565651
GSE84437_GSM2236012	0.0965507644144875	0	0.0029845567811782	0.0724443439838189	0	0.130607233265292	0.0185171337798787	0.0564778788326485	0.0437533597625731	0	0.0138666431460757	0	0.0119306368296627	0.0468127691870661	0.151742212867461	0.089148579537377	0.020881904186328	0.0920718897175871	0.126685385637277	0	0	0.0255247080712882	0.148	0.103659730251178	1.05256017287724
GSE84437_GSM2236013	0.0288343170048321	0	0	0.044079016225872	0	0.201049008831679	0.0239067253796813	0.0751470314157119	0.019463539356867	0	0.00182010403617298	0.00875791640187609	0	0.235353054894999	0.0469203593775053	0.117773748955571	0.0280200522215112	0.0788072216469548	0	0.0881005738118298	0	0.00196733043893584	0.015	0.235017691743728	1.00036905138459
GSE84437_GSM2236014	0.00301198681356979	0	0	0.371754305934403	0	0	0.230122326609201	0.0183970435098517	0.00110847826829649	0	0.0974020186679525	0	0	0.0414208749154329	0.0381039614784785	0.0636108128310829	0.0117173482583903	0	0.0683582097551226	0	0	0.0549926329582178	0.125	0.11360365470554	1.06898433265123
GSE84437_GSM2236015	0.170352104668955	0.0818703889283296	0.0290465561879156	0.182224882790359	0	0.0809469832792496	0	0.0451426712887307	0.0493284461373866	0.111785571861427	0	0.0209250198100834	0	0.0577984738326292	0.0602345994583769	0.0503860909655136	0	0.017071603169411	0.0402410535661983	0.00264555405543409	0	0	0.002	0.341737956070983	0.948090602257731
GSE84437_GSM2236016	0.0592093120667161	0	0.0293045670055827	0.171816367395512	0	0.0723133809803754	0.048712612320906	0.0797649969337079	0	0.0215312112947009	0	0.0609478311019671	0	0.0790228610838738	0.0938580592424627	0.0882542128209576	0.00500306871358583	0.0584102764026211	0.12146922364591	0	0	0.0103820189911218	0.179	0.0903676122671069	1.05378382336575
GSE84437_GSM2236017	0.0137555518495316	0.000915647132377776	0.0775628698982945	0.19177600562317	0	0.261251909207114	0	0.047890024465319	0.0868968292090089	0	0.00589795545803001	0.0221135702262019	0	0.0209156566822636	0.0624219305388024	0.151228293299721	0	0.000105510665293473	0.00480702280745267	0.0524612229374192	0	0	0.144	0.105500288616954	1.06105983793205
GSE84437_GSM2236018	0.0768969564587136	0	0	0.148677183124562	0	0.387306113203491	0	0.0504167145782282	0.0133658902392125	0	0.0925228516151387	0	0.00392383631394271	0.0172159254808815	0.039625815373052	0.0243880399619815	0	0.0153511065937526	0	0.106542765464997	0.0237668015920467	0	0.045	0.167524821524023	1.0521710084501
GSE84437_GSM2236019	0.0819419502116271	0	0.0481148724423373	0.113471093423075	0	0.193234659309343	0.0607802015611546	0	0.0383872224896923	0	0.0107462972614522	0.00140194591459763	0	0.16932813542888	0.0995529665606695	0.0933577201481923	0.0196179772651975	0	0.0700649579837822	0	0	0	0.383	0.0499875912146081	1.06551145891143
GSE84437_GSM2236020	0.0432593999942333	0	0.131434234442849	0.21263511283482	0	0.0245722901167945	0.0903293419943961	0.0836624032595407	0.0032343053294893	0	0.00743886989679815	0	0	0.0254109658032008	0.177748249681042	0.0499215230927951	0.0348999504500846	0.0541738310891346	0.0554934141613022	0	0	0.00578610785352021	0.046	0.165501619276911	1.02794315753329
GSE84437_GSM2236021	0.0729262066641258	0	0	0.0970101308501387	0	0.249981411452714	0	0.0397622564271701	0.00472405010735512	0.0226341253037047	0	0.0612617530506743	0.00934535039860506	0	0.0915802563510155	0.198242788067815	0.0183928650720403	0.00095532805449701	0.130111136523699	0	0.00307234167644665	0	0.00600000000000001	0.26463800298114	0.98030216759056
GSE84437_GSM2236022	0.0685439543220157	0	0.0281949332521931	0.0727633503042928	0	0.19897001048878	0.021585143521683	0.0683792816925784	0.0338719047203345	0.00911510749497099	0	0.0386368259355089	0	0.0675316325814873	0.037929562999143	0.0671981012846798	0	0.145020810617333	0.142259380784999	0	0	0	0.188	0.087485097642506	1.0499822696285
GSE84437_GSM2236023	0.131986493722835	0	0.0400315505249348	0.108954446554541	0	0.207755650968305	0.0704394841850396	0.0458753938423387	0	0	0.0312894464406246	0.0104441281231426	0	0.10493661073002	0.122298089734645	0.0514636204477664	0.0324970898865802	0.0222118645791484	0	0.0198161302600796	0	0	0.001	0.396643847135583	0.91852848722079
GSE84437_GSM2236024	0.231263555062881	0.210307040690932	0	0.183222323199088	0	0.136269022103694	0.0253720167358024	0.0186403362190842	0.0401049436403553	0	0	0	0	0.0669861548511165	0.035949813042541	0.0202868068213394	0	0.0138022400952611	0.0177957475379054	0	0	0	0	0.448606537289832	0.89454438675253
GSE84437_GSM2236025	0.135240424512107	0.301638375759292	0.0141859443599243	0.113798082175131	0	0.164226390324996	8.89660582465232e-05	0.044506554440134	0.0476529168170114	0.000893846317072586	0	0	0	0.0537182985022612	0.00920022899572163	0.0480048938569666	0	0.0298648404398632	0.0369802374412723	0	0	0	0	0.463526959452949	0.885659743594951
GSE84437_GSM2236026	0.039986276486565	0	0.0203037416870161	0.114036054204589	0	0.198632493157573	0.0152153986846893	0.0156397075368427	0.0534040227232768	0	0	0.0311393155174523	0	0.0672838669521926	0.022739599101815	0.126594524051726	0	0.0204505148916926	0.27457448500457	0	0	0	0.005	0.285315308953917	0.969642711542579
GSE84437_GSM2236027	0.0257521128821379	0	0.0391074042501194	0.111060009100023	0	0.0824545183097813	0.0114603340778243	0.00679086539166708	0	0	0	0.091249290909835	0.0176842335070446	0.165168802764109	0.0240920002334355	0.153824215483705	0	0.0107616230935599	0.209564481883813	0	0	0.0510301081129457	0.055	0.158181598295534	1.02671054944608
GSE84437_GSM2236028	0	0	0.00407414768313079	0.0495715545565186	0	0.202486501564701	0.14556099112091	0.0271481199434612	0	0.00154972449328861	0.00397407830406364	0.0075898630395533	0	0.117084865894361	0.114202118960311	0.18557672593293	0	0.0870276533881282	0	0.0067721187667176	0.00396518359488485	0.0434163527570395	0.00600000000000001	0.277745321429438	0.977929837466082
GSE84437_GSM2236029	0.194299205829114	0.0288105545321556	0	0.320152443901851	0	0	0.027719559301797	0.0478632880752854	0.140941532097851	0	0	0.0350031248002494	0	0.050832656115755	0.0838937823769569	0.0420164210728956	0	0	0.0284674318960896	0	0	0	0	0.468846216686344	0.883312954761391
